id,name,brand,category,subcategory,description,detailed_description,key_benefits,ingredients,serving_size,servings_per_container,directions_for_use,warnings,price,compare_at_price,currency,stock_quantity,is_available,is_featured,is_bestseller,image_url,nutrition_facts,certifications,target_audience,health_conditions,allergen_info,manufacturer,country_of_origin,expiry_date,barcode,sku,weight_grams,tags,seo_title,seo_description,price_aed,barcode sku
d8d78df2-9533-4773-bc5e-447d067beb9a,Creatine Monohydrate,Biowell,Muscle Building,,"Increases intramuscular phosphocreatine for rapid ATP regeneration,","Increases intramuscular phosphocreatine for rapid ATP regeneration,",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Creatine Monohydrate,"Increases intramuscular phosphocreatine for rapid ATP regeneration,",85.0,
cba68a6a-4f83-47e8-b602-681bb5c18f9c,Whey Protein (or Equivalent Protein Supplements),Biowell,Muscle Building,,Provides essential amino acids (especially,Provides essential amino acids (especially,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Whey Protein (or Equivalent Protein Supplements),Provides essential amino acids (especially,180.0,
6fb63925-366e-477c-a323-b0aed2b1981b,β-Alanine,Biowell,Muscle Building,,"Buffers intramuscular acidity by raising carnosine levels, delaying fatigue in high-","Buffers intramuscular acidity by raising carnosine levels, delaying fatigue in high-",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,β-Alanine,"Buffers intramuscular acidity by raising carnosine levels, delaying fatigue in high-",95.0,
bb65adee-fdb7-4347-9eee-c98ae050fb16,Branched-Chain Amino Acids (BCAAs),Biowell,Muscle Building,,"Leucine-rich BCAAs can stimulate muscle protein synthesis,","Leucine-rich BCAAs can stimulate muscle protein synthesis,",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Branched-Chain Amino Acids (BCAAs),"Leucine-rich BCAAs can stimulate muscle protein synthesis,",120.0,
b64d0a7c-53bc-4286-9a8d-369806e9c934,but Note,Biowell,Muscle Building,,"when overall protein intake is adequate, extra BCAAs add little benefit. Whole protein or","when overall protein intake is adequate, extra BCAAs add little benefit. Whole protein or",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,but Note,"when overall protein intake is adequate, extra BCAAs add little benefit. Whole protein or",0.0,
3ce7e8c6-849a-4101-97ac-590e19907a14,Omega-3 Fish Oil,Biowell,Muscle Building,,"Rich in EPA/DHA, which have anti-inflammatory effects. Omega-3s may reduce","Rich in EPA/DHA, which have anti-inflammatory effects. Omega-3s may reduce",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Omega-3 Fish Oil,"Rich in EPA/DHA, which have anti-inflammatory effects. Omega-3s may reduce",0.0,
63337363-0151-4016-a245-27fb413aa2ff,HMB (β-Hydroxy β-Methylbutyrate),Biowell,Muscle Building,,A leucine metabolite purported to reduce muscle breakdown.,A leucine metabolite purported to reduce muscle breakdown.,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,HMB (β-Hydroxy β-Methylbutyrate),A leucine metabolite purported to reduce muscle breakdown.,0.0,
c3f55641-bf95-4526-8f37-78a51a4a32b8,Beetroot Nitrate (Nitric Oxide Booster),Biowell,Endurance,,Beetroot juice or concentrated nitrate increases nitric,Beetroot juice or concentrated nitrate increases nitric,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Beetroot Nitrate (Nitric Oxide Booster),Beetroot juice or concentrated nitrate increases nitric,0.0,
4c7cca02-2629-4db5-a03b-d6ad7a564128,Caffeine,Biowell,Endurance,,"A well-established ergogenic aid that stimulates the central nervous system, reduces","A well-established ergogenic aid that stimulates the central nervous system, reduces",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Caffeine,"A well-established ergogenic aid that stimulates the central nervous system, reduces",0.0,
1ede43cd-257b-413f-8e30-0f40499de406,β-Alanine,Biowell,Endurance,,Improves high-intensity endurance by buffering lactic acid via elevated carnosine.,Improves high-intensity endurance by buffering lactic acid via elevated carnosine.,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,β-Alanine,Improves high-intensity endurance by buffering lactic acid via elevated carnosine.,95.0,
58112a9b-688d-4807-9f4a-74f9a9bbd4e8,Sodium Bicarbonate,Biowell,Endurance,,Alkaline buffering agent that neutralizes plasma acidity in all-out efforts.,Alkaline buffering agent that neutralizes plasma acidity in all-out efforts.,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Sodium Bicarbonate,Alkaline buffering agent that neutralizes plasma acidity in all-out efforts.,0.0,
39cba2f9-9f79-4e10-8f24-8772b17267e4,"Electrolytes (Sodium, Potassium, Magnesium)",Biowell,Endurance,,Prolonged endurance exercise causes sweat losses;,Prolonged endurance exercise causes sweat losses;,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,"Electrolytes (Sodium, Potassium, Magnesium)",Prolonged endurance exercise causes sweat losses;,0.0,
cb137706-f3c8-4e38-8280-24c697b1dcb6,Adaptogens (Rhodiola rosea),Biowell,Endurance,,Herbal adaptogens like Rhodiola can reduce perception of effort and,Herbal adaptogens like Rhodiola can reduce perception of effort and,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Adaptogens (Rhodiola rosea),Herbal adaptogens like Rhodiola can reduce perception of effort and,0.0,
14be756a-1a54-445b-8d7a-a2a89bfb2f5c,Zinc & Selenium,Biowell,Male Fertility,,These trace minerals are critical for spermatogenesis and testosterone production.,These trace minerals are critical for spermatogenesis and testosterone production.,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Zinc & Selenium,These trace minerals are critical for spermatogenesis and testosterone production.,0.0,
8e4a259b-2a0d-4022-b395-18f026715aad,Coenzyme Q10,Biowell,Male Fertility,,"A potent antioxidant that concentrates in sperm mitochondria, improving energy","A potent antioxidant that concentrates in sperm mitochondria, improving energy",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Coenzyme Q10,"A potent antioxidant that concentrates in sperm mitochondria, improving energy",0.0,
ad011523-8efa-4fd9-baba-3220d875294a,L-Carnitine (and Acetyl-L-Carnitine),Biowell,Male Fertility,,Amino acid derivatives that transport fatty acids into,Amino acid derivatives that transport fatty acids into,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,L-Carnitine (and Acetyl-L-Carnitine),Amino acid derivatives that transport fatty acids into,0.0,
103503ff-bbf0-4847-8232-87bb7d5025f1,Myo-Inositol,Biowell,Male Fertility,,Inositol is a vitamin-like compound that improves insulin sensitivity and hormonal,Inositol is a vitamin-like compound that improves insulin sensitivity and hormonal,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Myo-Inositol,Inositol is a vitamin-like compound that improves insulin sensitivity and hormonal,0.0,
428fa76b-9a85-433a-bc33-7ab489229ed4,Ashwagandha (Withania somnifera),Biowell,Male Fertility,,Ayurvedic herb shown to significantly increase sperm count,Ayurvedic herb shown to significantly increase sperm count,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Ashwagandha (Withania somnifera),Ayurvedic herb shown to significantly increase sperm count,0.0,
7c9320b7-a2d8-4ea8-bbfd-bd4a3717fd28,Omega-3 Fatty Acids,Biowell,Male Fertility,,The omega-3 DHA is a major component of sperm membranes. Higher,The omega-3 DHA is a major component of sperm membranes. Higher,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Omega-3 Fatty Acids,The omega-3 DHA is a major component of sperm membranes. Higher,0.0,
9a5bd5ab-a46b-4573-8db4-3b5220699938,Folic Acid (Vitamin B9),Biowell,Female Fertility,,An essential pre-conception nutrient. Adequate folate is critical for DNA,An essential pre-conception nutrient. Adequate folate is critical for DNA,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Folic Acid (Vitamin B9),An essential pre-conception nutrient. Adequate folate is critical for DNA,0.0,
5cfac377-e9a9-4ddf-8c79-0faae7d65428,Vitamin D,Biowell,Female Fertility,,Optimizing vitamin D status is linked to better fertility outcomes. Vitamin D receptors are,Optimizing vitamin D status is linked to better fertility outcomes. Vitamin D receptors are,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Vitamin D,Optimizing vitamin D status is linked to better fertility outcomes. Vitamin D receptors are,0.0,
cdf4f799-8d49-4dad-896b-9a6b08c999dc,Myo-Inositol (and D-Chiro-Inositol),Biowell,Female Fertility,,A cornerstone supplement for women with PCOS-related,A cornerstone supplement for women with PCOS-related,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Myo-Inositol (and D-Chiro-Inositol),A cornerstone supplement for women with PCOS-related,0.0,
794100bd-271f-4ca6-8b61-30e893b70f13,Dose,Biowell,Female Fertility,,4 g/day of myo-inositol (often split into 2 g twice daily) + ~100 mg D-chiro-inositol (in a 40:1,4 g/day of myo-inositol (often split into 2 g twice daily) + ~100 mg D-chiro-inositol (in a 40:1,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Dose,4 g/day of myo-inositol (often split into 2 g twice daily) + ~100 mg D-chiro-inositol (in a 40:1,0.0,
65a7f597-763c-4220-8477-7d912b1ab3d2,Coenzyme Q10,Biowell,Female Fertility,,"Helps improve oocyte mitochondrial function, especially in women of advanced","Helps improve oocyte mitochondrial function, especially in women of advanced",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Coenzyme Q10,"Helps improve oocyte mitochondrial function, especially in women of advanced",0.0,
cdc32cbb-410c-4455-9251-46d0d0326680,Omega-3 and Antioxidants,Biowell,Female Fertility,,Omega-3 fatty acids (e.g. 1000 mg DHA/EPA) and antioxidants like,Omega-3 fatty acids (e.g. 1000 mg DHA/EPA) and antioxidants like,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Omega-3 and Antioxidants,Omega-3 fatty acids (e.g. 1000 mg DHA/EPA) and antioxidants like,0.0,
49589b47-53e3-4b04-8a41-7fc7eb1fd277,DHEA (Dehydroepiandrosterone),Biowell,Female Fertility,,A hormone precursor sometimes used in women with,A hormone precursor sometimes used in women with,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,DHEA (Dehydroepiandrosterone),A hormone precursor sometimes used in women with,0.0,
f99c2fe8-cc60-4044-afba-526bfbed0373,Iron,Biowell,Female Fertility,,Iron deficiency can impair ovulation and early pregnancy. Women trying to conceive should,Iron deficiency can impair ovulation and early pregnancy. Women trying to conceive should,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Iron,Iron deficiency can impair ovulation and early pregnancy. Women trying to conceive should,0.0,
b3841739-66dc-45ed-ae8b-9d00883a4239,Vitamin D3,Biowell,Longevity,,"Adequate vitamin D is linked to lower mortality in epidemiological studies, likely via","Adequate vitamin D is linked to lower mortality in epidemiological studies, likely via",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Vitamin D3,"Adequate vitamin D is linked to lower mortality in epidemiological studies, likely via",40.0,
7b661d5e-4076-443d-9f57-0c2cad74695a,"Antioxidant & Mitochondrial Support (CoQ₁₀, Alpha-Lipoic Acid)",Biowell,Longevity,,CoQ₁₀ levels decline with age,CoQ₁₀ levels decline with age,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,"Antioxidant & Mitochondrial Support (CoQ₁₀, Alpha-Lipoic Acid)",CoQ₁₀ levels decline with age,0.0,
d2158dce-d606-40bd-9f78-989da529d023,"Caloric Restriction Mimetics (Resveratrol, Spermidine)",Biowell,Longevity,,"Resveratrol, a polyphenol from red","Resveratrol, a polyphenol from red",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,"Caloric Restriction Mimetics (Resveratrol, Spermidine)","Resveratrol, a polyphenol from red",0.0,
c78b6024-b9c0-47d9-b988-15ca7b34638b,Curcumin (Turmeric Extract),Biowell,Longevity,,A potent anti-inflammatory that may protect against age-related,A potent anti-inflammatory that may protect against age-related,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Curcumin (Turmeric Extract),A potent anti-inflammatory that may protect against age-related,0.0,
f6e55a06-b4b1-427b-a985-5ef464601a40,Probiotics,Biowell,Gut Health,,Supplementing beneficial bacteria (like Lactobacillus and Bifidobacterium strains) can,Supplementing beneficial bacteria (like Lactobacillus and Bifidobacterium strains) can,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Probiotics,Supplementing beneficial bacteria (like Lactobacillus and Bifidobacterium strains) can,0.0,
225f22c1-bf34-41ce-80e7-a7aef154f24a,"Prebiotic Fiber (Inulin, FOS, GOS)",Biowell,Gut Health,,"Prebiotics are fermentable fibers that feed commensal bacteria,","Prebiotics are fermentable fibers that feed commensal bacteria,",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,"Prebiotic Fiber (Inulin, FOS, GOS)","Prebiotics are fermentable fibers that feed commensal bacteria,",0.0,
74a8a03a-5522-4776-bbeb-15e2f20f53ad,L-Glutamine,Biowell,Gut Health,,A key amino acid for intestinal cell repair and barrier integrity. In leaky gut or IBS-D,A key amino acid for intestinal cell repair and barrier integrity. In leaky gut or IBS-D,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,L-Glutamine,A key amino acid for intestinal cell repair and barrier integrity. In leaky gut or IBS-D,0.0,
ae79290d-eb00-4994-aa9c-0fb103e2bd72,Zinc Carnosine,Biowell,Gut Health,,A specialized zinc complex that aids gastric mucosal healing. It’s been used in Japan,A specialized zinc complex that aids gastric mucosal healing. It’s been used in Japan,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Zinc Carnosine,A specialized zinc complex that aids gastric mucosal healing. It’s been used in Japan,0.0,
7aa94f5e-87be-4a35-8a6c-81bbd1970f87,Digestive Enzymes,Biowell,Gut Health,,"Broad-spectrum enzyme supplements (amylase, protease, lipase, lactase, etc.)","Broad-spectrum enzyme supplements (amylase, protease, lipase, lactase, etc.)",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Digestive Enzymes,"Broad-spectrum enzyme supplements (amylase, protease, lipase, lactase, etc.)",85.0,
7d49f15d-292f-489d-a6f5-3d80c699c269,Psyllium Husk,Biowell,Gut Health,,"A soluble fiber that gels in water, aiding both constipation (adds bulk and softness)","A soluble fiber that gels in water, aiding both constipation (adds bulk and softness)",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Psyllium Husk,"A soluble fiber that gels in water, aiding both constipation (adds bulk and softness)",0.0,
5ea6b82b-9450-4962-9b3c-0aa902990322,Peppermint Oil (enteric-coated),Biowell,Gut Health,,An antispasmodic remedy for IBS. Enteric-coated peppermint,An antispasmodic remedy for IBS. Enteric-coated peppermint,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Peppermint Oil (enteric-coated),An antispasmodic remedy for IBS. Enteric-coated peppermint,0.0,
573c5b45-8392-4d96-939c-b97875a0f9bf,B-Complex Vitamins,Biowell,Metabolism,,"B vitamins (B₁, B₂, B₃, B₅, B₆, B₁₂, etc.) serve as cofactors in cellular energy","B vitamins (B₁, B₂, B₃, B₅, B₆, B₁₂, etc.) serve as cofactors in cellular energy",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,B-Complex Vitamins,"B vitamins (B₁, B₂, B₃, B₅, B₆, B₁₂, etc.) serve as cofactors in cellular energy",0.0,
60bddd52-b650-4bb9-93a9-60832c62eb9e,Magnesium,Biowell,Metabolism,,"Involved in over 300 enzymatic reactions, including ATP synthesis and insulin signaling.","Involved in over 300 enzymatic reactions, including ATP synthesis and insulin signaling.",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Magnesium,"Involved in over 300 enzymatic reactions, including ATP synthesis and insulin signaling.",0.0,
09d52661-929e-4182-8ff3-3c9b12a8f5a3,Alpha-Lipoic Acid (ALA),Biowell,Metabolism,,A potent antioxidant and mitochondrial coenzyme that improves insulin,A potent antioxidant and mitochondrial coenzyme that improves insulin,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Alpha-Lipoic Acid (ALA),A potent antioxidant and mitochondrial coenzyme that improves insulin,0.0,
fb7d3154-da80-4410-957b-468b4097724e,Berberine,Biowell,Metabolism,,A botanical AMPK activator that exerts effects similar to metformin. Berberine,A botanical AMPK activator that exerts effects similar to metformin. Berberine,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Berberine,A botanical AMPK activator that exerts effects similar to metformin. Berberine,110.0,
f344bb92-323e-4866-903b-14166ce62e48,Chromium Picolinate,Biowell,Metabolism,,A trace mineral that enhances insulin’s action. Some studies show chromium,A trace mineral that enhances insulin’s action. Some studies show chromium,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Chromium Picolinate,A trace mineral that enhances insulin’s action. Some studies show chromium,0.0,
d336e246-7f2b-419f-a8f3-664ecbe235ec,Green Tea Extract (EGCG),Biowell,Metabolism,,EGCG and caffeine in green tea have thermogenic effects. Green tea,EGCG and caffeine in green tea have thermogenic effects. Green tea,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Green Tea Extract (EGCG),EGCG and caffeine in green tea have thermogenic effects. Green tea,0.0,
